Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Miss Midge,2015/05/13,filly,10,0.1,Tiz Elemental,2004,99,14.0,Cee's Tizzy,1987
Money Broker,2015/04/09,gelding,29,0.3,Bwana Babe,2007,88,3.1,Bwana Charlie,2001
Mr. Persistence,2015/02/21,colt,,,,,,,,
Nikki's Bad,2015/04/11,filly,82,1.8,Nec Metu,2008,,,Successful Appeal,1996
Octoberfest,2015/04/21,gelding,,,,,,,,
Of Course You Can,2015/02/08,gelding,13,0.1,Raucous Lady,2009,69,2.2,Rock Hard Ten,2001
Oh Bette,2015/04/06,filly,57,0.7,Betty Brite,2009,57,0.7,Medaglia d'Oro,1999
Ollivander,2015/04/08,gelding,47,0.5,Magical World,2010,70,1.7,Distorted Humor,1993
Possibilitarian,2015/05/12,colt,91,2.7,Pledge Pin,2011,62,1.3,Chatain,2003
Princess Zoe,2015/05/06,filly,31,0.3,Now and Forever,2006,76,1.7,Maria's Mon,1993
Quest of Glory,2015/01/30,gelding,38,0.4,Delve,2002,,,Seeking the Gold,1985
Royal Descendent,2015/03/27,filly,91,2.8,Sweet August Moon,2005,97,9.2,Malibu Moon,1997
Sandy Lane,2015/04/09,gelding,60,0.8,Warmhearted Sandy,2007,69,1.0,Say Florida Sandy,1994
Simply Awesome (IRE),2015/02/04,filly,,,,,,,,
Stunning Baby,2015/01/15,gelding,45,0.5,My Baby Baby,2005,97,6.6,Bernstein,1997
Super Sol,2015/03/25,colt,87,2.6,Kiss the Lady,2010,88,2.7,Quiet American,1986
Sway's Godsend Rvf,2015/04/22,gelding,33,0.3,Homefortheholidays,2004,80,2.0,Came Home,1999
Sweet Sting,2015/02/15,filly,72,1.8,Perfect Sting,1996,99,47.3,Red Ransom,1987
Too Much Time,2015/02/21,gelding,19,0.2,Takeabreak,2002,,,A.P. Indy,1989
Truth Be Tolled,2015/02/10,gelding,56,0.7,Pay the Toll,2003,41,0.4,Repriced,1988
Uglich,2015/04/20,colt,,,,,,,,
Valkyrie,2015/02/07,filly,55,0.7,Lemon Tiz,2008,59,0.8,Lemon Drop Kid,1996
Virtuoso,2015/05/02,filly,,,,,,,,
Wooderson,2015/05/09,colt,,,,,,,,
Yoenis,2015/03/24,gelding,,,,,,,,
Zig Zillion,2015/02/18,gelding,76,1.4,Power Lady,2010,96,4.0,Discreet Cat,2003
Unnamed,2016/02/10,colt,,,,,,,,
Unnamed,2016/02/23,colt,,,,,,,,
A Thousand Stars,2016/05/03,filly,,,,,,,,
Already Awesome,2016/02/09,colt,,,,,,,,
